;; A mapping for multi-word expressions that correspond to Amenities in Hotels
;; It follows the pattern of the WN->SUMO mappings
;; An explanation of synsets data format is in http://wordnet.princeton.edu/man/wndb.5WN.html. 
;; A record is of the form:
;; synset_offset  lex_filenum  ss_type  w_cnt  word  lex_id  [word  lex_id...]  p_cnt  [ptr...]  [frames...]  |   gloss &%SUMOconcept symbol(+,=) 
;; examples:
;; 00001740 03 n 01 entity 0 003 ~ 00001930 n 0000 ~ 00002137 n 0000 ~ 04424418 n 0000 | that which is perceived or known or inferred to have its own distinct existence (living or nonliving) &%Entity=
;; 04371430 06 n 02 swimming_trunks 0 bathing_trunks 0 002 @ 04371563 n 0000 ;u 06295235 n 0000 | swimsuit worn by men while swimming &%Clothing+
;; we also list the amenities that are already part of the WN->SUMO mapping to check them
;; Preliminary version Oct 20, 2011  Valeria de Paiva (lexicographer 99)  
;; This work is released under the GNU Public License http://www.gnu.org/copyleft/gpl.html>. 
;; Content repeated from WordNet is governed by the WordNet license 

03225988 06 n 01 double_bed 0 001 @ 02818832 n 0000 | a bed wide enough to accommodate two sleepers &%DoubleBed=
15300221 99 n 02 double_whirlpool_tub 0 double_jacuzzi 0 000 | a whirlpool tub that accommodates two people &%DoubleWhirlpoolTub=
15300231 99 n 02 dvd_system 0 dvd_player 000 | is a type of media system that is able to play the contents of video recording and audio recording stored in a DVD &%DVDSystem=
15300241 99 n 01 electric_coffee_maker 0 000 | an electric coffee maker is an electric device that makes coffee &%ElectricCoffeeMaker=
15300251 99 n 02 electronic_lock 0 electronic_opening 0 000 | a type of lock that depends on some electronic signalling process to open &%ElectronicLock=
15300261 99 n 03 executive_service 0 vip_service 0 vip_treatment 0 000 | class of service that is directed towards guests staying at rooms in an executive level &%ExecutiveService=
03584829 06 n 02 iron 0 smoothing_iron 0 006 @ 03528263 n 0000 + 01390833 v 0101 ~ 03361194 n 0000 ~ 03443775 n 0000 ~ 04309833 n 0000 ~ 04475631 n 0000 | home appliance consisting of a flat metal base that is heated and used to smooth cloth &%FabricIron=
03316105 06 n 03 facsimile 0 facsimile_machine 0 fax 0 003 @ 03257586 n 0000 + 01007676 v 0301 + 01007676 v 0103 | duplicator that transmits the copy by wire or radio &%FaxMachine=
04289195 06 n 01 sprinkler_system 0 003 @ 04377057 n 0000 %p 03833564 n 0000 %p 04212573 n 0000 | a system for extinguishing fires; water from a network of overhead pipes is released through nozzles that open automatically with the rise in temperature &%FireSprinklerSystem=
15300271 99 n 02 four_poster_bed 0 four_post_bed 0 000 |  type of bed frame with a post at each corner to support curtains or a canopy &%FourPosterBed=
